Temperatura	Wilgotnosc	Chwasty	Mineraly	Wzrost
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	 	wysokie	3
niska	niska	srednie	niskie	0
niska	niska	wysokie	niskie	0
niska	niska	niskie	niskie	0
niska	niska	niskie	srednie	0
niska	niska	niskie	wysokie	0
niska	niska	niskie	niskie	0
srednia	niska	niskie	niskie	0
wysoka	niska	niskie	niskie	0
niska	wysoka	srednie	srednie	3
niska	srednia	srednie	srednie	0
niska	srednia	niskie	niskie	0
niskie	niskie	srednie	wysokie	2
niska	srednia	srednie	wysokie	3
srednia	wysoka	wysokie	srednie	2
srednia	wysoka	niskie	srednie	3
niska	niska	wysokie	srednie	0
niska	wysoka	niskie	niskie	1
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	 	wysokie	3
niska	niska	srednie	niskie	0
niska	niska	wysokie	niskie	0
niska	niska	niskie	niskie	0
niska	niska	niskie	srednie	0
niska	niska	niskie	wysokie	0
niska	niska	niskie	niskie	0
srednia	niska	niskie	niskie	0
wysoka	niska	niskie	niskie	0
niska	wysoka	srednie	srednie	3
niska	srednia	srednie	srednie	0
niska	srednia	niskie	niskie	0
niskie	niskie	srednie	wysokie	2
niska	srednia	srednie	wysokie	3
srednia	wysoka	wysokie	srednie	2
srednia	wysoka	niskie	srednie	3
niska	niska	wysokie	srednie	0
niska	wysoka	niskie	niskie	1
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	 	wysokie	3
niska	niska	srednie	niskie	0
niska	niska	wysokie	niskie	0
niska	niska	niskie	niskie	0
niska	niska	niskie	srednie	0
niska	niska	niskie	wysokie	0
niska	niska	niskie	niskie	0
srednia	niska	niskie	niskie	0
wysoka	niska	niskie	niskie	0
niska	wysoka	srednie	srednie	3
niska	srednia	srednie	srednie	0
niska	srednia	niskie	niskie	0
niskie	niskie	srednie	wysokie	2
niska	srednia	srednie	wysokie	3
srednia	wysoka	wysokie	srednie	2
srednia	wysoka	niskie	srednie	3
niska	niska	wysokie	srednie	0
niska	wysoka	niskie	niskie	1
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	 	wysokie	3
niska	niska	srednie	niskie	0
niska	niska	wysokie	niskie	0
niska	niska	niskie	niskie	0
niska	niska	niskie	srednie	0
niska	niska	niskie	wysokie	0
niska	niska	niskie	niskie	0
srednia	niska	niskie	niskie	0
wysoka	niska	niskie	niskie	0
niska	wysoka	srednie	srednie	3
niska	srednia	srednie	srednie	0
niska	srednia	niskie	niskie	0
niskie	niskie	srednie	wysokie	2
niska	srednia	srednie	wysokie	3
srednia	wysoka	wysokie	srednie	2
srednia	wysoka	niskie	srednie	3
niska	niska	wysokie	srednie	0
niska	wysoka	niskie	niskie	1
srednia	wysoka	srednie	srednie	3
