Temperatura	Wilgotnosc	Chwasty	Mineraly	Wzrost
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	srednie	wysokie	3
niska	niska	wysokie	niskie	0
wysoka	srednia	niskie	wysokie	4
wysoka	niska	niskie	wysokie	2
niska	niska	niskie	niskie	1
niska	niska	wysokie	wysokie	4
srednia	srednia	niskie	wysokie	3
srednia	srednia	 	wysokie	3
